author_id,name,institution_id,institution_name,year_start,year_end,closest_hospital,hospital_lat,hospital_lon,distance_km
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I136199984,Harvard University,1995,2023,MOUNT AUBURN HOSPITAL,42.3741,-71.1342999999999,1.3598957696675322
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I63966007,Massachusetts Institute of Technology,2001,2025,CAMBRIDGE HEALTH ALLIANCE - CAMBRIDGE CAMPUS,42.3745,-71.1041,1.9080636237538477
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210117453,Dana-Farber Cancer Institute,2001,2005,DANA-FARBER CANCER INSTITUTE,42.3377,-71.1073,0.04906128356190839
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I107606265,Broad Institute,2005,2025,MASSACHUSETTS EYE AND EAR INFIRMARY,42.3629,-71.0701,1.5049788087853235
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210157710,Whitehead Institute for Biomedical Research,2001,2001,,,,
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I1283280774,Brigham and Women's Hospital,2001,2001,BRIGHAM AND WOMEN'S HOSPITAL,42.3359,-71.1068,0.06875088498044295
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210087915,Massachusetts General Hospital,2001,2024,MASSACHUSETTS GENERAL HOSPITAL,42.3626,-71.0692999999999,0.053462159822595265
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I2801851002,Harvard University Press,2014,2014,,,,
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I97018004,Stanford University,2016,2016,STANFORD HOSPITAL,37.4346524360001,-122.174883097,0.6125138696179531
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I1334819555,Memorial Sloan Kettering Cancer Center,2021,2021,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,40.7642743170001,-73.956595517,0.03553749853916584
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210089486,Fred Hutch Cancer Center,2013,2013,UW MEDICINE NORTHWEST HOSPITAL,47.7141723940001,-122.336895379,0.14233206226269327
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210121475,Cancer Clinic,2013,2013,MASSENA MEMORIAL HOSPITAL,44.93623403,-74.908740086,77.5830041388249
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210140884,National Cancer Institute,2013,2013,AROOSTOOK MENTAL HEALTH CENTER RESIDENTIAL TREATMENT FACILITY,46.8865379580001,-67.824388798,5683.36992485165
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I142606810,Pacific Northwest National Laboratory,2013,2013,LOURDES COUNSELING CENTER,46.2831274120001,-119.281307491,7.709743905991051
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4390039299,Vanderbilt-Ingram Cancer Center,2013,2013,VANDERBILT UNIVERSITY HOSPITAL,36.1408360080001,-86.8021666989999,0.09354545374037022
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I2799853436,Johns Hopkins Medicine,2020,2024,KENNEDY KREIGER INSTITUTE,39.299280975,-76.592818711,0.3922826835736629
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I145311948,Johns Hopkins University,2020,2024,MEDSTAR UNION MEMORIAL HOSPITAL,39.329040299,-76.6147393489999,0.6253923135839848
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I114832834,Tulane University,2012,2016,OCHSNER BAPTIST MEDICAL CENTER,29.937631594,-90.103933845,1.6080742660771348
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I204465549,Washington University in St. Louis,2023,2023,SSM HEALTH ST. MARY'S HOSPITAL ST LOUIS,38.6330960430001,-90.31089581,1.5876061666915184
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I114277686,James S. McDonnell Foundation,2023,2023,,,,
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I1299501804,Michael E. DeBakey VA Medical Center,2014,2022,MICHAEL E. DEBAKEY VA MEDICAL CENTER,29.6997657490001,-95.388773445,0.2343479689338271
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I181547552,Baylor College of Medicine,2020,2022,HARRIS HEALTH SYSTEM BEN TAUB GENERAL HOSPITAL,29.710982363,-95.3945517,0.1307501656852315
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I33213144,University of Florida,2011,2012,MALCOM RANDALL VA MEDICAL CENTER,29.637698481,-82.344669083,1.1827470244701213
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210104802,Malcom Randall VA Medical Center,2011,2012,MALCOM RANDALL VA MEDICAL CENTER,29.637698481,-82.344669083,0.13023820129300834
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210144081,South Texas Veterans Health Care System,2022,2022,,,,
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I94062374,Florida College,2011,2011,JAMES A. HALEY VETERANS' HOSPITAL PRIMARY CARE ANNEX,28.0703960860001,-82.3573376539999,4.742875575495573
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I108468826,Stevens Institute of Technology,1993,1995,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,40.741129325,-74.0340379579999,0.8467218434121941
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210120584,Polytechnic University,1993,1995,SAMUEL SIMMONDS MEMORIAL HOSPITAL,71.29284714,-156.778767705,6907.730621371683
https://openalex.org/A5065488391,Michael A. Gillette,https://openalex.org/I4210110987,IIT@MIT,1993,1995,,,,
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I63966007,Massachusetts Institute of Technology,2004,2018,CAMBRIDGE HEALTH ALLIANCE - CAMBRIDGE CAMPUS,42.3745,-71.1041,1.9080636237538477
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I4210117453,Dana-Farber Cancer Institute,2005,2009,DANA-FARBER CANCER INSTITUTE,42.3377,-71.1073,0.04906128356190839
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I136199984,Harvard University,2004,2021,MOUNT AUBURN HOSPITAL,42.3741,-71.1342999999999,1.3598957696675322
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I107606265,Broad Institute,2005,2023,MASSACHUSETTS EYE AND EAR INFIRMARY,42.3629,-71.0701,1.5049788087853235
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I4210157710,Whitehead Institute for Biomedical Research,2001,2004,,,,
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I4210105714,Center for Human Genetics,2006,2006,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,42.283191747,-83.728707796,0.41281689144655254
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I4210087915,Massachusetts General Hospital,2006,2006,MASSACHUSETTS GENERAL HOSPITAL,42.3626,-71.0692999999999,0.053462159822595265
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I1288882113,Boston Children's Hospital,2006,2009,CHILDREN'S HOSPITAL BOSTON,42.3372000000001,-71.1064,0.05933939389670963
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I1283280774,Brigham and Women's Hospital,2005,2009,BRIGHAM AND WOMEN'S HOSPITAL,42.3359,-71.1068,0.06875088498044295
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I1335321130,Children's Hospital of Philadelphia,2005,2005,CHILDRENS HOSPITAL OF PHILADELPHIA,39.948541596,-75.19380649,0.13717882979985452
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I27837315,University of Michigan,2014,2014,VA ANN ARBOR HEALTHCARE SYSTEM,42.2866933230001,-83.7146405939999,0.917956356803074
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I858866802,Leibniz Institute for Crystal Growth,2023,2025,AROOSTOOK MENTAL HEALTH CENTER RESIDENTIAL TREATMENT FACILITY,46.8865379580001,-67.824388798,5572.2760116383115
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I72019824,Virginia Commonwealth University Medical Center,1998,1998,,,,
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I185261750,University of Toronto,2024,2024,MOUNT ST. MARY'S HOSPITAL,43.1541840190001,-79.0324307239999,63.85721104965822
https://openalex.org/A5109532899,Aravind Subramanian,https://openalex.org/I4210154029,PSG Institute of Advanced Studies,2019,2019,,,,
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I136199984,Harvard University,1998,2024,MOUNT AUBURN HOSPITAL,42.3741,-71.1342999999999,1.3598957696675322
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I63966007,Massachusetts Institute of Technology,2004,2024,CAMBRIDGE HEALTH ALLIANCE - CAMBRIDGE CAMPUS,42.3745,-71.1041,1.9080636237538477
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210117453,Dana-Farber Cancer Institute,2003,2025,DANA-FARBER CANCER INSTITUTE,42.3377,-71.1073,0.04906128356190839
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I107606265,Broad Institute,2004,2025,MASSACHUSETTS EYE AND EAR INFIRMARY,42.3629,-71.0701,1.5049788087853235
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I1283280774,Brigham and Women's Hospital,1998,2024,BRIGHAM AND WOMEN'S HOSPITAL,42.3359,-71.1068,0.06875088498044295
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210157861,Harvard Stem Cell Institute,2009,2021,,,,
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210161994,Dana-Farber Brigham Cancer Center,2003,2023,,,,
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I1344073410,Howard Hughes Medical Institute,2004,2025,WALTER REED NATIONAL MILITARY MEDICAL CENTER,39.0030041160001,-77.0945684719999,1.3917015973126403
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I2802742124,John Radcliffe Hospital,1994,1996,AROOSTOOK MENTAL HEALTH CENTER RESIDENTIAL TREATMENT FACILITY,46.8865379580001,-67.824388798,4687.35855770593
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210146488,Institute of Molecular Medicine,1994,1994,SHRINERS HOSPITALS FOR CHILDREN,29.704310666,-95.405771447,0.22372022152489138
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I2801107848,New York Hospital Queens,2012,2012,QUEENS HOSPITAL CENTER,40.7170722130001,-73.804556192,0.14182631257683914
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I2799503643,Columbia University Irving Medical Center,2012,2012,NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,40.841052882,-73.940686522,0.2730073475779551
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I1334819555,Memorial Sloan Kettering Cancer Center,2011,2013,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,40.7642743170001,-73.956595517,0.03553749853916584
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I1340179700,NewYork–Presbyterian Hospital,2012,2012,NEW YORK HOSPITAL QUEENS,40.7467722760001,-73.8254163829999,0.05723802797142145
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I47396830,Bristol-Myers Squibb (Switzerland),2017,2017,,,,
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210120229,Seagen (Canada),2017,2017,,,,
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210091812,Bristol-Myers Squibb (United States),2017,2017,MERWICK REHABILITATION HOSPITAL AND NURSING CARE CENTER,40.3528112230001,-74.6663108129999,5.821260430825733
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210108032,MSD K.K. (Japan),2017,2017,COMMONWEALTH HEALTH CENTER,15.212064,145.724324,2778.7681757201776
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I4210108457,Infinity Pharmaceuticals (United States),2017,2017,,,,
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I189718659,Pfizer (United Kingdom),2017,2020,AROOSTOOK MENTAL HEALTH CENTER RESIDENTIAL TREATMENT FACILITY,46.8865379580001,-67.824388798,4765.301909520639
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I170912547,Sigma-Tau (Switzerland),2017,2017,,,,
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I114030911,Otsuka (Japan),2017,2017,COMMONWEALTH HEALTH CENTER,15.212064,145.724324,2358.341439127903
https://openalex.org/A5070668676,Benjamin L. Ebert,https://openalex.org/I157075465,Bristol-Myers Squibb (Germany),2017,2020,AROOSTOOK MENTAL HEALTH CENTER RESIDENTIAL TREATMENT FACILITY,46.8865379580001,-67.824388798,5683.227578150711
